Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason
2025-09-26,VTSI,557.0,5.44,3030.0800000000004,0.0,MANUAL BUY MOO - Filled
2025-09-26,CRWS,1030.0,2.85,2935.5,0.0,MANUAL BUY MOO - Filled
